2026-03-14 20:24:04,440 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]         ScaleBuilder.java:241  | Beam  guessed height:  8 -- 0.50 of 16 interline
2026-03-14 20:24:04,441 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]         ScaleBuilder.java:264  | Beam measured height:  9 -- 0.36 of [5..16] range at 64% of needed quorum
2026-03-14 20:24:04,441 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]         ScaleBuilder.java:392  | Normalized black jitter: 5.88 %
2026-03-14 20:24:04,441 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]            ScaleStep.java:65   | Scale{ interline(17,17,18) line(2,2,3) beam(9)}
2026-03-14 20:24:04,441 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]       StepMonitoring.java:98   | GRID
2026-03-14 20:24:04,523 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]       LinesRetriever.java:1500 | Global slope: 0.00000
2026-03-14 20:24:04,533 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]    ClustersRetriever.java:326  | Retrieved raw line clusters: 12 of sizes [5] with interline(17,17,18)
2026-03-14 20:24:04,568 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]            PeakGraph.java:310  | Systems: #1[1, 2, 3, 4, 5, 6] #2[7, 8, 9, 10, 11, 12]
2026-03-14 20:24:04,575 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]        BarsRetriever.java:1305 | System#1
2026-03-14 20:24:04,575 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]        BarsRetriever.java:1308 |    PartGroup{bracket number:1 barline:false staves:1-4}
2026-03-14 20:24:04,575 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]        BarsRetriever.java:1305 | System#2
2026-03-14 20:24:04,575 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]        BarsRetriever.java:1308 |    PartGroup{bracket number:1 barline:false staves:7-10}
2026-03-14 20:24:04,677 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]        SystemManager.java:779  | 5 parts along 2 systems
2026-03-14 20:24:04,678 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]       StepMonitoring.java:98   | HEADERS
2026-03-14 20:24:04,817 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]       StepMonitoring.java:98   | STEM_SEEDS
2026-03-14 20:24:04,846 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]        StemSeedsStep.java:86   | stem(2 max:4)
2026-03-14 20:24:04,851 INFO [d86b142c2864_Love_Never_Leaves_EPRINT-Octavo#4]       StepMonitoring.java:98   | BEAMS
